Sh,Rh
9999,0
9997.9401060000000143,0.25
9996.022013548117684,0.70247349999999997294
9992.5513509934135072,1.5213517379705321364
9986.273095826514691,3.003176055124338717
9974.9215476014087471,5.6841080847145697419
9954.4150989236113674,10.53269416318391194
9917.4291318423856865,19.295745891485466927
9850.9113185087862803,35.114526458018119115
9731.8998933623824996,63.608065216317442037
9520.9497092956316919,114.73107557164289005
9153.2712272023036348,205.8108793548246922
8531.4227240190284647,366.04035271554289466
7534.3646165300569919,641.67458353190022535
6077.6717309530058628,1097.6647835164110347
4257.9297249137780454,1803.8306548990569809
2480.4424853952014018,2788.3905599458485085
1236.4914082928085008,3971.1822986105862583
608.37035785494276752,5169.2638718847374548
336.08156734228316509,6224.8553144498173424
213.56616070890999026,7084.6210940017926987
152.40248856253143117,7760.0742803241173533
118.67925261503165757,8281.9550881024551927
98.559231378241264565,8681.796502923083608
85.817268031734315059,8986.7075693477527238
77.380369261655928881,9218.5763600028803921
71.605581665492337606,9394.5871776867461449
67.55388240132589317,9528.0389878486857924
64.658039602674719504,9629.1407702861833968
62.559412522955931024,9705.6910678139684023
61.022612459880413383,9763.6284477297376725
59.888385917554629145,9807.4656826823338633
59.046327140165786318,9840.6271655323616869
58.41839249228203812,9865.7087923642302485
57.948561495460090498,9884.6769961501031503
57.596136256949435506,9899.0206067387134681
57.331273210890060454,9909.8664209897979163
57.131929827582929704,9918.0669974396259931
56.981734913998948855,9924.2672656228241976
56.868477679035912331,9928.9550154886183009
56.783020864625541435,9932.4991421967042697
56.718510201823249872,9935.1786014313711348
56.669794323634583577,9937.2043235230721621
56.63299616057672381,9938.7357940613946994
56.605194556305470144,9939.8935965059008595
56.584186775316233309,9940.7688987403489591
56.568310783938898112,9941.4306273614329257
56.556311934916514872,9941.9308928250902682
56.547242774250925379,9942.3090916350884072
56.540387633855317517,9942.5950080327529577
56.535205817054375643,9942.8111591161014076
56.531288757392850641,9942.9745678828130622
56.528327693931082365,9943.0981037227611523
56.52608926995798555,9943.1914958685883903
56.524397106344999031,9943.2620995839515672
56.523117882883710195,9943.3154754113766103
56.522150822596621822,9943.3558270878111216
56.521419745795753897,9943.3863326102091378
56.520867065208236113,9943.4093945212080143
56.520449247594264364,9943.42682912460441
56.520133383484896683,9943.4400095315540966
56.519894594342524385,9943.4499738027934654
56.51971407263064151,9943.4575067035093525
56.519577600257392191,9943.4632015094739472
56.519474428608347694,9943.4675067320404196
56.519396431904830536,9943.4707614418784942
56.519337467175297718,9943.4732219734323735
56.519292890413659336,9943.475082113280223
56.519259190807410675,9943.476488362355667
56.519233714222053777,9943.4775514740649669
56.519214454160440653,9943.4783551769924088
56.519199893731418172,9943.4789627692043723
56.519188886180423026,9943.4794221034699149
56.519180564572167214,9943.479769356057659
56.519174273511865181,9943.4800318759007496
56.519169517527217295,9943.4802303385476989
56.519165922045772277,9943.480380374528977
56.519163203894223102,9943.4804938003853749
56.519161148996126087,9943.4805795493157348
56.519159595511652583,9943.4806443747384037
56.519158421091354683,9943.4806933821764687
56.519157533240161229,9943.4807304313599161
56.519156862032630784,9943.4807584402096836
56.51915635460576226,9943.4807796146487817
56.519155970995605287,9943.4807956223357905
56.519155680989769053,9943.4808077240031707
56.519155461747963898,9943.480816872755895
56.51915529600312027,9943.4808237891302269
56.519155170701509405,9943.4808290178480092
56.519155075974616409,9943.480832970712072
56.519155004361934402,9943.4808359590406326
56.519154950223388312,9943.480838218190911
56.519154909295131972,9943.4808399260873557
56.519154878353738525,9943.4808412172424141
56.519154854962323498,9943.4808421933430509
56.519154837278620107,9943.4808429312670341
56.519154823909900642,9943.4808434891310753
56.519154813803268667,9943.4808439108710445
56.519154806162745786,9943.4808442297035072
56.519154800386580462,9943.480844470737793
56.519154796019847709,9943.4808446529568755
56.519154792718637736,9943.480844790712581
56.519154790222955853,9943.4808448948551813
56.519154788336237516,9943.4808449735864997
56.519154786909901134,9943.480845033105652
56.519154785831602794,9943.4808450781019928
56.51915478501641843,9943.4808451121189137
56.519154784400143399,9943.4808451378357859
56.519154783934247632,9943.4808451572771446
56.519154783582031598,9943.480845171974579
56.519154783315762813,9943.4808451830849663
56.519154783114466056,9943.4808451914850593
56.519154782962289119,9943.4808451978351513
56.519154782847245144,9943.4808452026354644
56.519154782760267608,9943.4808452062643482
56.519154782694513983,9943.4808452090073843
56.519154782644804413,9943.4808452110810322
56.519154782607223808,9943.480845212649001
56.51915478257881631,9943.4808452138349821
56.519154782557336603,9943.4808452147317439
56.519154782541100701,9943.480845215408408
